"vst.mean"	"vst.variance"	"vst.variance.expected"	"vst.variance.standardized"	"vst.variable"
"2027"	90.191	1252.38890790791	2859.92780032117	0.437909274411497	0
"3201"	90.224	1281.75758158158	2861.37837139711	0.447951097413151	0
"4432"	89.848	1242.06496096096	2844.85913172424	0.4365998116076	0
"2911"	89.566	1217.60725125125	2832.48192980639	0.429872910551798	0
"4800"	90.166	1317.6581021021	2858.82897806124	0.46090833422141	0
"714"	90.378	1329.15827427427	2868.14959278899	0.463420135970593	0
"824"	90.134	1315.40745145145	2857.42260539056	0.460347534512366	0
"3147"	89.584	1256.07501901902	2833.27165008242	0.443330246495242	0
"3343"	89.38	1237.70330330331	2824.3239976557	0.438229928411417	0
"2564"	89.361	1230.27895795796	2823.49091844055	0.435729737936418	0
"1926"	89.064	1171.02693093093	2810.47480172756	0.416665159285939	0
"4011"	89.198	1210.86766366366	2816.34594297076	0.429942801127054	0
"2064"	89.138	1198.13308908909	2813.71677873148	0.425818653158564	0
"364"	88.96	1189.22762762763	2805.91974088776	0.423828098251795	0
"911"	89.011	1228.37525425425	2808.15329279373	0.437431694846043	0
"3558"	88.91	1209.31721721722	2803.73032032736	0.431324371124259	0
"3260"	88.698	1182.6054014014	2794.45087940312	0.423197777466034	0
"108"	88.945	1235.51148648649	2805.26287975847	0.440426277124112	0
"2266"	88.289	1157.98746646647	2776.56553401406	0.417057495053024	0
"3718"	88.491	1207.42334234234	2785.39608454474	0.433483535444723	0
"4361"	87.922	1134.1841001001	2760.53592726251	0.410856489458847	0
"1655"	88.006	1160.37433833834	2764.20323044891	0.41978618849595	0
"842"	86.886	1089.76076476477	2715.3843039304	0.401328372999498	0
"809"	86.886	1139.51051451451	2715.3843039304	0.419649812685859	0
"2770"	86.521	1077.8373963964	2699.51140901594	0.399271287684352	0
"2377"	86.14	1040.41481481482	2682.96217664033	0.387785867379482	0
"190"	86.579	1102.02578478479	2702.0324601776	0.407850683152917	0
"226"	86.607	1117.69024124124	2703.24968412894	0.413461711584882	0
"4097"	85.822	1003.12143743744	2669.16471445356	0.375818484339135	0
"3960"	85.7	1006.56256256256	2663.87505115125	0.377856522259765	0
"653"	85.032	979.800776776777	2634.94853742354	0.371848164342073	0
"3035"	84.691	985.495014014013	2620.20610341055	0.376113547988176	0
"3584"	84.676	1004.59962362362	2619.55798240176	0.383499670697324	0
"640"	84.737	1009.94777877878	2622.19387081845	0.385153740925933	0
"1388"	83.986	928.226030030029	2589.77855265039	0.358419073738981	0
"1968"	83.895	940.936911911913	2585.8561241467	0.363878292811983	0
"4578"	83.504	938.778762762762	2569.0159442674	0.365423486318794	0
"2716"	83.669	979.324763763765	2576.11977275743	0.380154981193096	0
"2509"	79.123	3798.77264364365	2381.83777102741	1.59489142789311	1
"3178"	67.751	3090.5975965966	1909.89074515066	1.61820648874488	1
"3856"	57.469	2072.97401301301	1502.96287099066	1.37925829907337	1
"3305"	52.875	1775.49286786787	1328.2285850106	1.33673743202394	1
"4909"	49.812	1864.88754354354	1214.46835477423	1.53555877863135	1
"4403"	43.951	1245.56216116116	1003.57733797066	1.24112224741923	0
"2530"	43.029	1509.26742642643	971.282347323994	1.55389154408566	1
"2812"	38.69	984.16206206206	822.851022307657	1.19603918009607	0
"4995"	39.829	1175.95371271272	861.22506641681	1.36544297021608	1
"3929"	37.741	921.243162162162	791.21589504811	1.16433854265042	0
"2693"	54.162	3162.04379979981	1376.69814399204	2.29683159928636	1
"4031"	30.374	593.285409409409	557.202700568782	1.06475688076134	0
"3290"	29.527	520.806077077077	531.755803680588	0.979408355249307	0
"4525"	28.506	448.34631031031	501.527594718495	0.89396139919672	0
"3140"	29.96	613.636036036035	544.723495822	1.12650921199947	0
"2314"	83.83	16918.3774774775	2583.05510583759	6.54975476103574	1
"4327"	27.407	467.52887987988	469.556684740703	0.995681448211215	0
"2972"	26.995	455.808783783784	457.727794983953	0.995807527484241	0
"1379"	71.778	12087.7344504504	2074.5854137492	5.82657834685408	1
"4895"	21.11	242.366266266267	299.128891501358	0.810240244764742	0
"1552"	55.562	6678.94710310309	1429.85503080206	4.67106591872926	1
"2755"	18.66	186.024424424424	239.631608224122	0.776293352129242	0
"254"	51.592	6473.62716316316	1280.29910875447	5.05633966226924	1
"4738"	17.293	146.737888888889	208.384645974309	0.704168429505981	0
"4922"	17.388	165.492948948949	210.507981474513	0.786159972604109	0
"3449"	15.771	120.63119019019	175.401204640224	0.687744365482691	0
"2841"	15.958	125.77401001001	179.345912614028	0.701292871283267	0
"1726"	34.812	2875.55621221221	695.616292577898	4.13382527536213	1
"3916"	22.052	921.841137137137	323.106438911281	2.85305715430282	1
"4489"	12.45	79.4729729729727	110.878138608266	0.716759624309284	0
"654"	24.763	1395.20403503504	395.207907930019	3.53030394139301	1
"2316"	24.821	1385.033992993	396.797898591536	3.4905275403657	1
"2468"	19.32	685.224824824824	255.233342053345	2.684699496203	1
"1816"	18.999	818.243242242244	247.604550034278	3.30463734260524	1
"2235"	17.148	650.02412012012	205.158023756772	3.16840700752102	1
"429"	15.586	465.9966006006	171.529373560162	2.71671604069116	1
"500"	14.985	435.183958958959	159.165800416924	2.73415493666996	1
"386"	15.201	485.934533533533	163.57107421676	2.97078524342015	1
"363"	13.198	345.824620620621	124.44510971492	2.77893298830979	1
"532"	12.266	289.833077077078	107.633238288505	2.69278414071493	1
"1467"	12.379	286.856215215215	109.621630830768	2.61678478089839	1
"3782"	8.314	97.6490530530529	47.7532781231506	2.0448659629445	1
"1856"	20.896	3082.87005405405	293.763908204156	10.4943799015349	1
"3962"	3.948	5.71701301301302	8.06750385772098	0.708647075209211	0
"1876"	4.026	7.02234634634633	8.48814060365505	0.827312679448598	0
"4791"	3.874	6.63275675675674	7.67879985437467	0.863775183953777	0
"2971"	3.747	5.68667767767768	7.03525739703704	0.80831124673173	0
"4560"	3.774	5.92084484484487	7.16957940430659	0.825828756605769	0
"1334"	3.768	6.38055655655651	7.13961361757681	0.893683733927628	0
"3138"	3.796	6.03642042042043	7.28002314767419	0.82917599270943	0
"1927"	3.707	5.56671771771769	6.83873938141376	0.81399764009825	0
"641"	3.764	5.76206606606607	7.11967339244146	0.809316066686899	0
"2023"	3.8	6.05005005005003	7.30019991092754	0.828751284056453	0
"1042"	3.821	6.67163063063065	7.40661283691473	0.900766757697808	0
"3362"	3.744	5.87433833833833	7.02041591814995	0.836750757622685	0
"1188"	3.746	5.521005005005	7.0303083885505	0.785314768552181	0
"3726"	3.705	5.49747247247245	6.82899115655482	0.805019708832937	0
"4275"	3.777	6.11738838838839	7.18458724824982	0.851459962418664	0
"1553"	3.724	6.07990390390391	6.92189800112305	0.878357916126107	0
"4558"	3.662	5.69144744744744	6.62119417953819	0.859580204585447	0
"3940"	3.745	6.37635135135135	7.02536122891373	0.907619002580068	0
"724"	3.695	5.9038788788789	6.78036101901939	0.870732231265865	0
"2367"	3.693	5.82457557557559	6.77065718993506	0.860267387962594	0
"2636"	3.62	5.27287287287287	6.42470407389445	0.820718403871419	0
"4669"	3.667	5.65977077077079	6.64518084794352	0.85171057045382	0
"2662"	3.713	5.83246346346346	6.86802844787506	0.84921946781802	0
"4175"	3.569	4.93817717717718	6.20417623093529	0.795944053386886	0
"2664"	3.704	6.16454854854854	6.82411981870716	0.903347056077398	0
"2996"	3.652	5.8187147147147	6.57335963098531	0.885196465942108	0
"1355"	3.658	5.74478078078078	6.60203815344176	0.870152617610353	0
"74"	3.717	6.2892002002002	6.88759148381366	0.913120386855154	0
"4863"	3.661	5.83991891891896	6.61640239724829	0.882642646001659	0
"1848"	3.73	6.14524524524531	6.95137571189289	0.884032959796943	0
"2000"	3.602	5.26686286286286	6.34462283879955	0.830130174272018	0
"3376"	3.682	6.26313913913914	6.71741840574335	0.932372938655151	0
"1093"	3.66	5.69609609609611	6.61161246545862	0.861529033326516	0
"524"	3.655	5.83981481481479	6.58769056455169	0.886473758533655	0
"1782"	3.651	6.09929829829828	6.56858950972968	0.928555253645207	0
"1181"	3.719	6.72476376376377	6.89738409878291	0.974973072030367	0
"3812"	3.586	5.15776176176179	6.27551395009757	0.821886749479946	0
"4337"	3.629	5.78514414414414	6.46568967641702	0.89474509815169	0
"1481"	3.647	5.87626726726729	6.54959044749414	0.897196139877037	0
"3441"	3.582	5.52079679679682	6.25853657468508	0.882122638561806	0
"637"	3.634	6.11015415415414	6.48873570287821	0.941655575745497	0
"3917"	3.528	5.24846446446448	6.04070106786479	0.868850222101721	0
"4148"	3.505	5.20117617617618	5.95411828254071	0.873542635427253	0
"406"	3.557	5.69644744744747	6.15509108563415	0.925485483186897	0
"4746"	3.52	5.36296296296295	6.01017651840788	0.892313719328766	0
"4700"	3.483	5.29100200200199	5.87461995447039	0.900654347516674	0
"4848"	3.485	5.10287787787787	5.88171536019894	0.867583275520031	0
"3112"	3.415	5.16594094094095	5.6484799672743	0.914571879668678	0
"834"	3.269	4.97961861861861	5.25412535069982	0.947754057286694	0
"813"	7.253	475.89088188188	35.2669750133996	9.74363172058468	1
"1056"	9.3	508.656656656658	60.8105292543827	8.36461486018061	1
"2460"	4.79	149.261161161162	13.1956617061624	11.3113813073471	1
"2961"	1.059	1.37489389389389	2.91062582584559	0.472370540275291	0
"2925"	1.067	1.60011111111112	3.00309578422632	0.532820537898143	0
"4600"	1.065	1.47625125125126	2.98000281121388	0.495385858595854	0
"2631"	1.027	1.40367467467467	2.53994247443205	0.55264034079691	0
"4458"	1.056	1.64450850850851	2.87589298985981	0.571825347572706	0
"4814"	1.028	1.37659259259259	2.55149959725667	0.539522951158873	0
"4029"	1.034	1.40024424424425	2.62091948299292	0.534256871807928	0
"3944"	0.998	1.26125725725726	2.18973917563383	0.575985154438397	0
"2521"	1.027	1.48976076076076	2.53994247443205	0.586533268275646	0
"3217"	1.012	1.34520120120119	2.36707697487204	0.568296348399873	0
"4286"	1.015	1.39216716716717	2.40166156207428	0.579668338433488	0
"4803"	0.997	1.29628728728728	2.1773440158944	0.595352538608742	0
