"orig.ident"	"nCount_RNA"	"nFeature_RNA"	"phenoid"	"RNA_snn_res.2"	"seurat_clusters"	"ident"	"sizeFactor"	"TSNE_1"	"TSNE_2"
"cell_26"	1	24344	2986	1	1	1	1	1.54840158924088	-0.508594452436674	-2.46197388586878
"cell_27"	1	11594	2067	1	32	10	10	0.702490867269465	-0.461439353887939	4.5127617708323
"cell_28"	1	26962	3003	1	6	14	14	1.59386599257726	-0.0346544298001868	-1.23280112634804
"cell_29"	1	10871	2052	1	24	4	4	0.68471912187967	3.17172697338818	-3.31295047785424
"cell_30"	1	12407	2224	1	29	7	7	0.782048687750537	-4.16618397207326	0.916691706555363
"cell_31"	1	18735	2641	1	4	12	12	1.13377350600335	0.717655835826785	-3.36199386422253
"cell_32"	1	14484	2326	1	7	15	15	0.891944963264462	-2.85297537236872	-1.00374144768278
"cell_33"	1	23936	2946	1	3	11	11	1.43873235350392	-0.619262003604093	-1.83170692261459
"cell_34"	1	6037	1390	1	17	24	24	0.404517469920539	3.26288488781383	-2.34875857186663
"cell_35"	1	14666	2582	1	25	31	31	1.0222579482284	0.0216182022926538	6.30755149460673
"cell_36"	1	9148	1831	1	9	17	17	0.574362193745941	-3.96942298424857	-0.376051029165416
"cell_37"	1	18402	2655	1	5	13	13	1.15897100278336	-0.495172138694529	-0.733238349899037
"cell_38"	1	12615	2150	1	20	27	27	0.773068634191449	-4.21635105462418	-0.681837887716751
"cell_39"	1	18427	2615	1	28	6	6	1.1018483454561	-3.99184969351841	0.0413493346738363
"cell_40"	1	7866	1636	1	32	10	10	0.456599791353364	3.34765054728162	-3.70076958588828
"cell_41"	1	20469	2727	1	31	9	9	1.29763422175943	0.121487931979406	-3.22886394981061
"cell_42"	1	15976	2405	1	27	5	5	0.983714633248058	-0.935447065498634	2.6609721106536
"cell_43"	1	22400	2914	1	29	7	7	1.42870597180129	0.902084679330946	2.84038609467033
"cell_44"	1	1561	532	1	14	21	21	0.104829663288674	-3.18774922910384	3.80784077233947
"cell_45"	1	17366	2507	1	5	13	13	1.04501061884618	-0.420710730392603	-1.63565209920901
"cell_46"	1	21786	2834	1	13	3	3	1.40456938528698	1.25653646079422	1.28514835765972
"cell_47"	1	2343	722	1	29	7	7	0.155608360200744	2.11714385597304	4.47724255417517
"cell_48"	1	13750	2269	1	29	7	7	0.858949521926518	-0.229894132694255	0.810260168026141
"cell_49"	1	6298	1421	1	4	12	12	0.392997158194623	-3.0231330006949	3.64868663754936
"cell_50"	1	28280	3018	1	16	23	23	1.71574935837149	0.0816860878601349	-0.456778261639386
"cell_51"	1	36325	3258	2	28	6	6	2.13416462549441	0.768208369363627	-1.17090851331038
"cell_52"	1	9913	1930	2	11	19	19	0.616774953875715	-3.65025088870498	-2.05448543694902
"cell_53"	1	10534	1952	2	2	2	2	0.622871688793499	-0.376851410483407	-3.03365209008022
"cell_54"	1	19669	2679	2	8	16	16	1.15741744232348	3.10287636443187	-0.49364307325201
"cell_55"	1	14149	2291	2	4	12	12	0.904654497059759	2.03852695181846	-2.79994380663397
"cell_56"	1	12023	2116	2	9	17	17	0.745222440136907	-1.10017909027223	2.1119492468235
"cell_57"	1	16227	2504	2	31	9	9	1.01051661089994	-1.08332552706898	0.40571988034711
"cell_58"	1	29076	3088	2	28	6	6	1.7610887651209	0.527361879274687	0.153208206625216
"cell_59"	1	20123	2704	2	31	9	9	1.18644951080032	-3.4716624323952	2.16849233230083
"cell_60"	1	9319	1880	2	27	5	5	0.58590611429833	1.71462672154152	-3.81617343534982
"cell_61"	1	7019	1505	2	13	3	3	0.43544957319438	1.95852578815841	4.38957411760606
"cell_62"	1	16540	2463	2	27	5	5	1.03663709945754	-1.43863604613261	1.23047447525117
"cell_63"	1	15398	2409	2	11	19	19	0.957905789135643	3.54252414452224	0.614933027546586
"cell_64"	1	18410	2612	2	6	14	14	1.13029023098916	-1.00248786110768	-1.26999307377718
"cell_65"	1	20303	2718	2	7	15	15	1.23740707462439	-1.42444900034236	1.76516377582507
"cell_66"	1	11042	2044	2	2	2	2	0.672117505041405	2.69540245263401	-2.03388990688074
"cell_67"	1	14147	2332	2	11	19	19	0.848672870027136	-1.88935736104851	-3.14228523268308
"cell_68"	1	15124	2360	2	7	15	15	0.911976226170799	1.5229497859155	-0.446131160663664
"cell_69"	1	18379	2619	2	10	18	18	1.13702157635874	2.98668852124455	-1.09245268797479
